127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001482
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000546
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000563
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000610
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000617
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001963
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000458
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001512
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000667
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000550
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2014-06-23 22:43:00, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2014-06-23 22:43:02, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000555
127.0.0.1, 2014-06-23 22:44:37, GET, /examples/default/index, HTTP/1.1, 200, 0.017400
127.0.0.1, 2014-06-23 22:47:57, GET, /examples/default/index, HTTP/1.1, 200, 0.020073
